Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",0402,7,100nF,C14663
"D1, D10, D11, D112, D113, D114, D115, D116, D117, D118, D12, D13, D14, D15, D154, D155, D156, D157, D158, D159, D16, D160, D17, D18, D19, D2, D20, D21, D22, D23, D238, D239, D24, D240, D241, D242, D243, D244, D245, D246, D247, D248, D249, D25, D250, D251, D252, D253, D254, D255, D256, D257, D258, D259, D26, D260, D261, D262, D263, D264, D265, D266, D267, D268, D269, D27, D270, D271, D272, D273, D274, D275, D276, D277, D278, D279, D28, D280, D281, D282, D283, D284, D285, D286, D287, D288, D289, D29, D290, D291, D292, D293, D294, D295, D296, D297, D298, D299, D3, D30, D300, D301, D302, D303, D304, D305, D306, D307, D308, D309, D31, D310, D311, D312, D313, D314, D315, D316, D317, D318, D319, D32, D320, D321, D322, D323, D324, D325, D326, D327, D328, D329, D33, D330, D331, D332, D333, D334, D335, D336, D337, D338, D339, D34, D340, D341, D342, D35, D36, D37, D38, D4, D5, D6, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,171,WS2812B,C2843785
D40,D_SMA,1,"1N1007, SMA",C727081
D41,D_SOD-323,1,"1N4148WS, SOD323",C2128
J1,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,Blue ready-up,C19271377
J10,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,Red ready-up,C19271377
"J13, J14",2060-452_998-404,2,WAGO,C2765055
"J15, J16",PinSocket_1x15_P2.54mm_Vertical,2,Conn_01x15_Socket,C124408
J2,PinSocket_1x02_P2.54mm_Horizontal,1,Conn_01x02_Socket,C2897384
J3,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02_Pin,C492410
J4,PinHeader_1x04_P2.54mm_Horizontal,1,GND,C492412
J5,PinHeader_1x04_P2.54mm_Horizontal,1,5V,C492412
J6,PinSocket_1x04_P2.54mm_Horizontal,1,GND,C2897386 
J7,PinSocket_1x04_P2.54mm_Horizontal,1,5V,C2897386 
J9,JST_EH_S6B-EH_1x06_P2.50mm_Horizontal,1,Conn_01x06_Pin,C157919
"Q1, Q2",SOT-323_SC-70,2,BSS138,C5224267
"R10, R2",0402,2,100K,C25530
"R3, R4, R5, R6, R7, R8, R9",0402,7,10k,C25744
