Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C6, C8",0402,6,100nF,C1525
"C14, C15, C5, C7, C9",0603,5,"10uF, 25V",C96446
C16,0402,1,C,DNU
C17,0402,1,4.7pF,C1569
C18,0402,1,2pF,C1558
D1,D_SOD-323,1,BAT760-7,C124187 
D10,0603,1,"LED, Red",C965799
D12,0603,1,"LED, Blue",C965807
J114,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C309347
"J15, J16",PinHeader_1x15_P2.54mm_Vertical,2,Conn_01x15_Socket,C7501269
J2,U.FL_Molex_MCRF_73412-0110_Vertical,1,Conn_Coaxial_Small,C2987682
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
"Q1, Q2",SOT-23,2,SS8050,C2834467
"R10, R14, R15, R16, R17",0402,5,10k,C25744
"R104, R105",0201,2,5.1K,C367648 
R11,0402,1,47.5K (1%),C2930010 
"R12, R18",0402,2,"470, 1%",C25117 
R13,0402,1,22.1K (1%),C43473
"R5, R6",0402,2,0 ohm,C17168
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,C115357
U1,RA-08H,1,Ai-Thinker RA-08H,C2991932
U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,C964632
U4,ESP32-WROOM-32UE,1,ESP32-WROOM-32UE,C701344
U5,SOT-23-5,1,AP2112K-3.3,C51118
U902,SOT-143,1,CM1213A−02Sx,C19268160
