Designator,Mid X,Mid Y,Rotation,Layer
C10,174.54,-100.26,90.0,top
C11,166.93,-101.26,90.0,top
C12,182.92,-109.7,180.0,top
C13,182.72,-96.58,180.0,top
C14,175.715,-105.79,180.0,top
C15,175.755,-111.84,180.0,top
C18,119.0,-106.46,270.0,bottom
C5,161.02,-110.525,90.0,bottom
C6,159.26,-110.48,90.0,bottom
C7,139.275,-115.25,180.0,top
C8,139.73,-113.75,180.0,top
C9,175.85,-99.705,90.0,top
D1,178.74,-107.0,90.0,top
D10,183.98,-115.8,180.0,top
D12,183.976773,-90.629273,180.0,top
J114,184.8,-103.25,90.0,top
J15,160.08,-90.75,270.0,bottom
J16,160.109014,-115.777283,270.0,bottom
J2,136.5,-95.5,0.0,top
JP1,137.79,-108.1,90.0,bottom
JP2,136.5,-99.95,90.0,bottom
Q1,165.2175,-103.1,180.0,top
Q2,165.2175,-106.62,180.0,top
R10,172.42,-98.47,180.0,top
R104,179.25,-104.845,180.0,top
R105,178.5,-100.405,90.0,top
R11,173.24,-97.35,180.0,top
R12,180.98,-115.8,0.0,top
R13,174.841321,-96.907,270.0,top
R14,170.79,-98.03,90.0,top
R15,161.99,-102.16,0.0,top
R16,162.38,-104.61,270.0,top
R17,176.3,-113.18,180.0,top
R18,180.969273,-90.629273,0.0,top
R5,136.15,-104.88,315.0,bottom
R6,130.91991,-105.256646,0.0,bottom
SW1,182.819926,-112.439003,180.0,top
SW2,182.8,-94.0,180.0,top
U1,148.981128,-105.017923,0.0,bottom
U3,170.77,-102.23,270.0,top
U4,149.39,-103.25,90.0,top
U5,175.7,-108.8075,90.0,top
U902,178.0,-102.875,90.0,top
