Designator,Footprint,Quantity,Value,LCSC Part #
C16,0402,1,C,DNU
C17,0402,1,4.7pF,C1569
C18,0402,1,2pF,C1558
"C24, C27",0402,2,"1uF, 25V",C52923
"C3, C5",0603,2,"10uF, 25V",C96446
"C4, C6, C8",0402,3,100nF,C1525
J13,2060-452_998-404,1,WAGO,C2765055
J2,Harwin_M20-89006xx_1x06_P2.54mm_Horizontal,1,PROG,C20610215
J3,PinHeader_1x03_P2.54mm_Vertical,1,VBAT,
J5,PinHeader_1x03_P2.54mm_Vertical,1,GND,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
R19,0402,1,"10k, 1%",C25744
"R5, R6",0402,2,0 ohm,C17168
SW1,SW_Push_1P1T_NO_CK_PTS125Sx43SMTR,1,START,C18186488
SW2,SW_Push_1P1T_NO_CK_PTS125Sx43SMTR,1,PAUSE,C18186488
SW3,SW_Push_1P1T_NO_CK_PTS125Sx43SMTR,1,RESET,C18186488
SW4,SW_Push_1P1T_NO_CK_PTS125Sx43SMTR,1,TIME_SEL,C18186488
"SW5, SW6",SW_Push_1P1T_NO_CK_PTS125Sx43SMTR,2,BUZZER,C18186488
SW7,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,C136722
SW8,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,C318884
U1,RA-08H,1,Ai-Thinker RA-08H,C2991932
U2,LQFP-32_7x7mm_P0.8mm,1,STM32G030K6Tx,C529331
U5,SOT-23-5,1,AP2112K-3.3,C51118
