Designator,Mid X,Mid Y,Rotation,Layer
C18,147.003354,-127.145444,180.0,top
C24,147.7107,-64.5512,90.0,top
C27,144.4607,-66.5512,0.0,top
C3,144.48,-85.5,0.0,top
C4,144.23,-84.0,0.0,top
C5,128.775,-94.25,0.0,top
C6,128.32,-95.75,0.0,top
C8,146.5,-85.23,270.0,top
J13,166.1,-57.3,180.0,bottom
J2,128.275,-65.17,180.0,top
JP1,143.214471,-104.093733,270.0,top
R19,147.5,-72.0,0.0,top
R5,143.0,-114.0,0.0,top
R6,148.25,-114.527821,270.0,top
SW1,163.957476,-60.504548,90.0,top
SW2,163.979676,-78.415198,0.0,top
SW3,163.954276,-96.325848,0.0,top
SW4,163.928876,-114.236498,90.0,top
SW5,163.930476,-132.147148,0.0,top
SW8,134.75,-82.75,0.0,top
U1,133.03,-105.9,270.0,top
U2,144.25,-78.0,0.0,top
U5,144.8625,-64.2,0.0,top
